CFHTLS,Conf,Feat,ra,dec,zph,r'Mag,M*,g'-r',R/B
W2-319,1,,135.001083,-2.756109,0.096,-21.43,10.52,0.481,B
W2-321,0,,135.463547,-2.664347,0.143,-22.49,11.07,0.595,R
W2-322,3,F,135.711639,-2.611654,0.112,-21.92,10.83,0.58,R
W2-323,0,,135.584045,-2.439234,0.196,-23.12,11.33,0.599,R
W2-329,1,,135.159592,-2.046415,0.135,-22.28,10.98,0.591,R
W2-333,0,,136.102127,-2.623159,0.122,-21.88,10.85,0.612,R
W2-335,1,,136.207016,-2.571914,0.108,-21.74,10.78,0.606,R
W2-336,0,,136.776611,-2.564915,0.149,-22.55,11.06,0.563,R
W2-338,0,,136.51889,-2.467287,0.15,-22.62,11.13,0.6,R
W2-341,1,,135.909988,-2.330835,0.083,-21.16,10.45,0.515,B
W2-343,0,,136.003708,-2.278247,0.156,-22.95,11.27,0.608,R
W2-344,2,,136.748779,-2.154649,0.152,-23.18,11.36,0.599,R
W2-345,0,,132.321686,-1.756479,0.077,-21.53,10.46,0.395,B
W2-346,0,,132.929489,-1.555087,0.065,-20.59,10.39,0.66,R
W2-348,3,A,132.477875,-1.434345,0.134,-22.19,10.54,0.224,B
W2-351,4,"S,F",133.975159,-1.899,0.079,-21.66,10.59,0.456,B
W2-353,0,,133.381226,-1.699979,0.116,-22.2,10.95,0.588,R
W2-355,4,A,133.83194,-1.68238,0.095,-21.28,10.6,0.605,R
W2-356,1,,133.312698,-1.648569,0.158,-23.17,11.21,0.479,B
W2-357,0,,133.2845,-1.647511,0.16,-22.69,11.01,0.468,B
W2-359,0,,133.75824,-1.338264,0.073,-20.9,10.21,0.389,B
W2-367,0,,134.482437,-1.490402,0.127,-21.9,10.5,0.296,B
W2-368,0,,134.066177,-1.477762,0.134,-22.3,10.74,0.364,B
W2-369,4,S,134.37529,-1.393179,0.06,-20.59,10.32,0.603,R
W2-376,0,,134.140808,-0.982172,0.09,-21.2,10.58,0.617,R
W2-377,0,,135.488373,-1.913194,0.077,-20.87,10.41,0.583,R
W2-382,2,,135.470764,-1.443076,0.177,-23.3,11.4,0.598,R
W2-383,0,,134.959381,-1.356144,0.172,-22.95,11.28,0.613,R
W2-384,0,,135.347717,-1.266364,0.079,-20.87,10.19,0.387,B
W2-385,4,L,135.60199,-1.262184,0.097,-21.73,10.72,0.554,R
W2-392,0,,136.503021,-1.555141,0.115,-22.05,10.89,0.588,R
W2-393,0,,136.488342,-1.530554,0.086,-21.52,10.41,0.348,B
W2-394,1,,136.606049,-1.40679,0.136,-23.04,11.15,0.468,B
W2-395,0,,136.289154,-1.18199,0.18,-23.23,11.36,0.588,R
W2-396,4,"H,F",136.284973,-1.148197,0.063,-21.21,10.56,0.596,R
W2-397,4,"A,L",136.328873,-1.149851,0.089,-21.06,10.26,0.381,B
W2-399,0,,136.787796,-1.057288,0.067,-20.53,10.18,0.502,B
W2-400,0,,136.018036,-1.033201,0.152,-22.91,11.06,0.429,B
W3-2,0,,209.808914,51.24403,0.057,-20.97,10.47,0.596,R
W3-3,0,,210.462769,51.332729,0.086,-21.3,10.6,0.599,R
W3-4,3,M,209.485474,51.354378,0.18,-22.96,11.29,0.623,R
W3-5,0,,209.821686,51.385986,0.191,-23.22,11.41,0.634,R
W3-7,0,,210.130035,51.64286,0.153,-22.44,10.81,0.379,B
W3-8,0,,210.094452,51.859917,0.165,-23.34,11.19,0.396,B
W3-9,1,,209.93837,52.025921,0.18,-22.96,11.31,0.639,R
W3-12,1,,210.942337,51.332611,0.083,-21.14,10.31,0.398,B
W3-13,4,S,211.455597,51.391953,0.138,-22.66,11.09,0.545,R
W3-14,4,A,212.006683,51.707348,0.076,-20.86,10.42,0.598,R
W3-16,2,,211.849899,51.834339,0.187,-23.1,11.37,0.641,R
W3-18,1,,211.486053,51.917835,0.1,-21.97,10.64,0.392,B
W3-19,0,,211.724411,52.029446,0.077,-21.08,10.21,0.331,B
W3-20,0,,211.034622,52.074902,0.084,-21.2,10.35,0.413,B
W3-22,0,,212.357788,51.231632,0.15,-23.18,11.36,0.602,R
W3-23,0,,212.391144,51.295437,0.15,-22.46,11.12,0.648,R
W3-24,0,,212.435638,51.484604,0.183,-23.28,11.42,0.625,R
W3-26,0,,212.625275,52.130371,0.124,-21.92,10.63,0.408,B
W3-28,0,,213.814575,51.231358,0.12,-21.97,10.91,0.64,R
W3-29,0,,213.848114,51.443409,0.063,-21.73,10.8,0.623,R
W3-31,0,,214.09906,51.482929,0.14,-22.64,11.15,0.615,R
W3-32,1,,213.78479,51.613769,0.062,-20.74,10.23,0.465,B
W3-33,0,,214.616455,51.634003,0.09,-21.52,10.51,0.435,B
W3-34,0,,213.963867,51.856842,0.065,-20.82,10.36,0.559,R
W3-35,1,,213.89679,51.864822,0.09,-21.47,10.7,0.624,R
W3-36,0,,214.878281,51.924484,0.111,-22.31,10.54,0.182,B
W3-38,0,,214.745422,52.028076,0.092,-21.71,10.75,0.585,R
W3-39,4,,213.96843,52.052456,0.096,-21.85,10.72,0.51,B
W3-40,1,,213.995758,52.050819,0.086,-21.62,10.54,0.435,B
W3-41,1,,213.957642,52.054176,0.089,-21.54,10.61,0.516,B
W3-43,2,,213.765137,52.07616,0.154,-23.05,11.26,0.561,R
W3-45,4,F,213.817093,52.08234,0.09,-21.25,10.58,0.6,R
W3-48,0,,214.609482,52.147411,0.133,-22.03,10.63,0.367,B
W3-49,0,,214.050446,52.160267,0.061,-20.53,10.29,0.595,R
W3-50,1,,215.867218,51.330772,0.072,-20.65,10.09,0.371,B
W3-56,1,,215.869675,51.918484,0.099,-21.38,10.67,0.634,R
W3-58,0,,215.896591,52.154884,0.062,-20.71,10.32,0.555,R
W3-60,4,"S,L,F",217.666061,51.258587,0.18,-22.91,11.27,0.619,R
W3-61,0,,216.790588,51.329815,0.107,-22.3,10.77,0.396,B
W3-63,0,,217.458588,51.692394,0.09,-21.81,10.45,0.284,B
W3-64,0,,217.168594,51.72237,0.091,-21.76,10.47,0.314,B
W3-66,3,M,217.373825,51.74181,0.089,-21.08,10.22,0.34,B
W3-67,4,,217.168747,52.056721,0.095,-22.09,10.95,0.627,R
W3-70,0,,218.759338,51.467274,0.074,-21.17,10.55,0.595,R
W3-72,0,,218.496979,51.510536,0.076,-21.41,10.66,0.614,R
W3-73,0,,218.268997,51.522354,0.167,-22.97,11.1,0.449,B
W3-74,0,,219.370926,51.582718,0.06,-20.27,10.21,0.618,R
W3-75,3,A,219.326599,51.612659,0.156,-22.98,11.29,0.615,R
W3-76,0,,219.349945,51.646694,0.152,-22.59,10.66,0.185,B
W3-77,0,,219.128418,51.660389,0.075,-20.71,10.07,0.334,B
W3-78,1,,218.992279,51.692577,0.075,-21.32,10.36,0.373,B
W3-79,0,,219.359604,51.694965,0.088,-21.54,10.47,0.397,B
W3-80,0,,219.439178,51.735279,0.087,-21.14,10.26,0.352,B
W3-81,2,,219.424499,51.763504,0.125,-21.98,10.66,0.411,B
W3-82,4,M,218.930649,51.769669,0.053,-20.19,10.13,0.576,R
W3-83,1,,219.180328,51.791294,0.15,-22.93,11.29,0.629,R
W3-84,0,,219.410309,51.792931,0.107,-21.48,10.32,0.287,B
W3-85,0,,219.153854,51.920685,0.09,-21.42,10.68,0.626,R
W3-86,0,,218.736588,51.970367,0.088,-21.27,10.32,0.358,B
W3-88,1,,218.435577,51.974934,0.091,-21.22,10.6,0.622,R
W3-89,0,,218.426041,52.056137,0.075,-21.06,10.25,0.369,B
W3-91,3,M,210.215012,52.268498,0.15,-23.1,11.36,0.636,R
W3-92,0,,210.487763,52.279442,0.136,-22.65,10.89,0.377,B
W3-93,0,,209.798569,52.362545,0.162,-23.01,10.91,0.26,B
W3-94,1,,209.292969,52.343117,0.175,-22.77,11.06,0.482,B
W3-95,3,"F,H",209.650284,52.355919,0.117,-21.95,10.6,0.364,B
W3-96,0,,209.666946,52.360199,0.15,-22.68,11.23,0.668,R
W3-97,1,,209.940918,52.3769,0.14,-22.17,10.74,0.417,B
W3-98,0,,209.355331,52.392796,0.127,-22.34,11.08,0.653,R
W3-99,0,,209.590347,52.392918,0.066,-20.76,10.03,0.28,B
W3-101,0,,210.164871,52.439419,0.15,-22.71,11.2,0.632,R
W3-102,4,S,210.275452,52.472275,0.09,-21.24,10.61,0.631,R
W3-103,0,,209.749939,52.501736,0.181,-22.85,11.03,0.431,B
W3-104,0,,210.152359,52.53862,0.073,-21.6,10.41,0.321,B
W3-106,0,,209.535187,52.526508,0.104,-21.5,10.44,0.378,B
W3-107,0,,209.404678,52.580059,0.117,-21.83,10.86,0.645,R
W3-108,3,M,209.618195,52.586479,0.06,-20.34,10.26,0.642,R
W3-110,1,,209.330246,52.731747,0.18,-23.5,11.53,0.639,R
W3-112,4,"L,A",209.395874,52.810326,0.092,-21.5,10.33,0.289,B
W3-113,0,,209.50032,52.883415,0.067,-20.44,10.31,0.647,R
W3-114,0,,209.289475,52.941017,0.073,-20.71,10.07,0.331,B
W3-115,0,,209.898544,52.953594,0.12,-22.09,10.97,0.648,R
W3-116,0,,209.505081,52.963158,0.119,-21.85,10.85,0.626,R
W3-117,4,A,209.858505,52.992821,0.09,-21.7,10.8,0.634,R
W3-118,0,,209.485703,53.001759,0.12,-21.99,10.91,0.631,R
W3-119,0,,209.408997,53.023777,0.12,-22.0,10.92,0.631,R
W3-123,1,,210.910278,52.205021,0.172,-22.96,11.27,0.6,R
W3-125,0,,212.192047,52.354225,0.125,-22.18,10.95,0.596,R
W3-127,0,,211.565323,52.54303,0.155,-22.92,11.06,0.433,B
W3-132,0,,212.096909,52.917885,0.105,-22.32,10.71,0.335,B
W3-133,0,,212.649674,52.252735,0.123,-21.97,10.44,0.212,B
W3-134,0,,213.330643,52.311333,0.146,-22.55,11.05,0.552,R
W3-135,0,,212.903153,52.342899,0.083,-20.97,10.08,0.246,B
W3-136,0,,212.533722,52.351055,0.06,-20.26,10.03,0.46,B
W3-138,0,,213.503693,52.394409,0.131,-22.12,10.94,0.611,R
W3-140,2,,212.54007,52.422321,0.083,-21.57,10.52,0.426,B
W3-142,0,,212.626358,52.538002,0.073,-20.83,10.03,0.254,B
W3-143,0,,212.727081,52.597843,0.062,-20.55,10.29,0.591,R
W3-144,4,A,212.919144,52.635445,0.15,-23.04,11.27,0.578,R
W3-145,4,"A,F",212.916229,52.654568,0.15,-22.79,11.16,0.571,R
W3-147,0,,212.90181,52.708626,0.09,-21.89,10.83,0.592,R
W3-149,0,,213.455978,52.786572,0.122,-22.33,11.03,0.609,R
W3-150,0,,213.598999,52.786713,0.121,-21.85,10.82,0.601,R
W3-151,3,A,213.497894,52.784462,0.135,-21.98,10.34,0.121,B
W3-152,4,A,212.945465,52.799118,0.104,-21.79,10.79,0.591,R
W3-153,0,,212.943024,52.861485,0.122,-22.14,10.93,0.591,R
W3-155,0,,214.632416,52.212444,0.118,-21.8,10.58,0.397,B
W3-156,0,,213.941483,52.224419,0.118,-21.9,10.86,0.616,R
W3-157,1,,213.935242,52.315334,0.15,-22.66,11.17,0.617,R
W3-158,0,,213.737656,52.343651,0.083,-20.96,10.47,0.604,R
W3-160,0,,213.85408,52.424507,0.1,-21.77,10.7,0.522,B
W3-164,4,A,214.529358,52.697182,0.151,-23.06,11.33,0.623,R
W3-165,1,,213.873688,52.779507,0.185,-23.04,11.22,0.533,B
W3-166,0,,213.923721,52.813126,0.15,-23.14,11.15,0.429,B
W3-169,0,,214.629379,52.894325,0.172,-23.71,11.37,0.43,B
W3-171,1,,214.626129,52.903076,0.08,-21.55,10.66,0.564,R
W3-173,4,"A,M",214.348984,52.964146,0.151,-23.2,11.41,0.644,R
W3-174,0,,216.243637,52.493702,0.159,-23.14,11.29,0.563,R
W3-175,2,,216.063599,52.507214,0.083,-20.91,10.22,0.395,B
W3-176,0,,215.329254,52.542801,0.113,-22.53,11.1,0.602,R
W3-177,0,,215.482788,52.813068,0.09,-21.27,10.66,0.66,R
W3-178,0,,216.419113,52.819981,0.148,-22.38,11.08,0.643,R
W3-179,0,,215.880478,52.923363,0.083,-20.98,10.2,0.351,B
W3-180,2,,215.478272,53.004913,0.113,-21.96,10.78,0.52,B
W3-181,0,,218.209183,52.305428,0.076,-21.1,10.23,0.338,B
W3-182,0,,216.806152,52.399116,0.099,-21.64,10.54,0.42,B
W3-183,0,,217.106079,52.456772,0.129,-22.28,10.99,0.597,R
W3-187,0,,216.780335,52.833733,0.12,-22.01,10.94,0.646,R
W3-188,3,A,217.734665,52.970123,0.169,-23.45,11.17,0.339,B
W3-189,0,,217.759003,52.985268,0.16,-23.17,11.14,0.415,B
W3-190,0,,218.293564,52.225994,0.082,-21.15,10.32,0.401,B
W3-191,0,,218.594971,52.477631,0.139,-22.46,10.63,0.208,B
W3-192,0,,218.660126,52.47652,0.12,-21.89,10.79,0.554,R
W3-193,0,,219.006836,52.532066,0.086,-21.05,10.23,0.353,B
W3-194,0,,219.133163,52.644855,0.143,-22.76,10.97,0.405,B
W3-195,0,,218.493957,52.657406,0.173,-23.12,11.03,0.333,B
W3-196,0,,218.587921,52.685917,0.164,-22.77,11.0,0.434,B
W3-197,0,,219.174988,52.703667,0.12,-22.0,10.9,0.615,R
W3-198,0,,218.301025,52.732204,0.06,-20.74,10.37,0.588,R
W3-199,3,"S,H",219.238205,52.761662,0.15,-23.09,11.32,0.6,R
W3-200,0,,218.724045,52.797436,0.176,-22.94,11.28,0.617,R
W3-201,0,,218.370041,52.816826,0.119,-22.0,10.71,0.443,B
W3-202,0,,219.062866,52.819733,0.12,-22.13,10.96,0.622,R
W3-203,0,,219.343277,52.835514,0.1,-21.82,10.85,0.634,R
W3-204,0,,219.431351,52.928234,0.182,-23.74,11.61,0.628,R
W3-206,0,,218.293991,52.975128,0.087,-21.37,10.64,0.611,R
W3-207,1,,218.282562,53.021771,0.117,-21.98,10.67,0.416,B
W3-209,4,S,210.362747,53.170868,0.137,-22.34,10.94,0.527,B
W3-210,0,,209.149353,53.217339,0.08,-21.23,10.33,0.385,B
W3-211,4,"M,A",209.158005,53.236908,0.079,-21.31,10.37,0.389,B
W3-212,4,"M,A",209.159347,53.23867,0.113,-21.67,10.58,0.449,B
W3-213,0,,209.227921,53.28281,0.126,-21.93,10.76,0.513,B
W3-217,0,,209.706406,53.480301,0.083,-20.98,10.28,0.43,B
W3-218,0,,209.378998,53.492874,0.18,-22.97,11.28,0.606,R
W3-219,0,,209.320465,53.505669,0.16,-22.64,11.09,0.556,R
W3-220,0,,209.882095,53.75267,0.11,-22.45,10.89,0.444,B
W3-221,1,,209.86824,53.750801,0.09,-21.48,10.72,0.645,R
W3-223,2,,209.271423,53.796322,0.096,-22.13,10.87,0.539,R
W3-224,0,,209.898498,53.857487,0.127,-22.05,10.9,0.595,R
W3-225,0,,209.862823,53.864845,0.076,-20.85,10.14,0.351,B
W3-226,2,,209.74144,53.904179,0.154,-23.0,11.26,0.585,R
W3-227,0,,211.299377,53.115326,0.091,-21.47,10.37,0.336,B
W3-228,1,,211.885223,53.144672,0.134,-22.54,11.02,0.527,B
W3-230,1,,211.488709,53.511341,0.129,-22.03,10.78,0.495,B
W3-231,0,,211.888779,53.732769,0.145,-22.79,10.94,0.372,B
W3-232,0,,210.78595,53.727581,0.06,-20.34,10.22,0.6,R
W3-234,0,,210.904633,53.807507,0.124,-22.67,10.89,0.37,B
W3-236,0,,212.061478,53.837715,0.145,-22.85,11.04,0.431,B
W3-237,2,,211.330795,53.865372,0.108,-21.71,10.77,0.604,R
W3-238,0,,211.975235,53.905971,0.06,-20.21,10.15,0.589,R
W3-239,3,A,211.729981,53.925156,0.06,-20.31,10.17,0.568,R
W3-240,0,,211.830338,53.9328,0.15,-22.71,11.16,0.593,R
W3-243,4,"A,S,M",211.850418,54.004223,0.089,-21.25,10.56,0.576,R
W3-245,0,,212.177994,53.998447,0.151,-22.82,11.21,0.6,R
W3-246,4,"A,F",211.857315,54.009377,0.15,-22.87,11.25,0.619,R
W3-247,0,,212.131134,54.03215,0.156,-22.66,10.91,0.388,B
W3-248,0,,212.929306,53.258701,0.154,-22.58,11.14,0.625,R
W3-250,0,,212.358276,53.416184,0.119,-22.35,11.05,0.625,R
W3-251,0,,212.50354,53.423107,0.122,-22.1,10.92,0.598,R
W3-252,0,,213.69429,53.479568,0.101,-22.47,10.88,0.427,B
W3-253,0,,212.535065,53.6404,0.077,-21.45,10.3,0.275,B
W3-254,0,,212.910584,53.620235,0.183,-23.32,11.09,0.316,B
W3-255,0,,213.104614,53.632404,0.121,-22.39,11.04,0.602,R
W3-256,2,,212.563415,53.658115,0.131,-22.6,11.14,0.621,R
W3-257,2,,212.921493,53.651966,0.071,-20.75,10.2,0.432,B
W3-258,0,,212.420593,53.655346,0.165,-23.2,11.38,0.613,R
W3-259,0,,212.570328,53.668453,0.097,-21.5,10.49,0.429,B
W3-261,1,,212.515091,53.763378,0.152,-23.23,11.42,0.645,R
W3-262,0,,212.271851,53.795422,0.088,-21.2,10.27,0.338,B
W3-263,3,A,212.705353,53.772068,0.102,-21.65,10.7,0.557,R
W3-264,1,,212.880936,53.795136,0.191,-23.25,11.4,0.615,R
W3-266,0,,212.231049,53.824078,0.118,-22.28,10.97,0.58,R
W3-270,0,,213.141983,54.00967,0.174,-23.05,11.29,0.59,R
W3-271,0,,214.731949,53.108681,0.147,-22.62,11.14,0.611,R
W3-272,4,S,215.052277,53.124859,0.107,-21.89,10.82,0.58,R
W3-273,3,"A,F",214.062256,53.146286,0.18,-22.91,11.27,0.618,R
W3-274,3,A,214.933639,53.1786,0.12,-22.62,11.14,0.609,R
W3-275,0,,214.872299,53.194256,0.145,-22.24,10.7,0.352,B
W3-276,0,,214.998291,53.337639,0.112,-21.65,10.61,0.478,B
W3-277,0,,214.11203,53.38007,0.12,-22.07,10.94,0.625,R
W3-278,0,,213.741882,53.588757,0.115,-22.57,10.87,0.387,B
W3-280,0,,213.979172,53.587486,0.168,-22.91,10.77,0.169,B
W3-281,0,,214.461975,53.607838,0.17,-23.45,11.24,0.405,B
W3-282,0,,215.132873,53.601181,0.18,-22.93,11.27,0.615,R
W3-283,4,S,214.942932,53.612072,0.15,-22.49,11.15,0.664,R
W3-284,4,F,214.572891,53.788956,0.138,-23.3,11.39,0.591,R
W3-285,0,,214.511124,53.784096,0.12,-22.18,11.0,0.638,R
W3-286,0,,214.111115,53.809334,0.095,-21.22,10.19,0.259,B
W3-287,1,,214.078598,53.841564,0.125,-22.12,10.97,0.636,R
W3-288,0,,215.125763,53.866497,0.094,-21.51,10.47,0.406,B
W3-292,0,,216.622604,53.311359,0.121,-21.98,10.71,0.451,B
W3-293,0,,216.472351,53.327595,0.085,-21.24,10.51,0.537,R
W3-294,4,A,215.877731,53.473263,0.061,-20.28,10.21,0.618,R
W3-296,3,"L,H",216.543228,53.697403,0.181,-22.91,11.27,0.62,R
W3-298,2,,216.110794,53.738377,0.168,-23.01,11.31,0.623,R
W3-299,1,,215.4897,53.840237,0.154,-22.56,11.17,0.652,R
W3-300,3,"S,A",216.182754,53.864155,0.179,-23.63,11.27,0.36,B
W3-301,0,,215.778595,53.948265,0.121,-22.11,10.96,0.633,R
W3-303,0,,217.032608,53.200806,0.084,-20.98,10.23,0.382,B
W3-304,4,F,218.016815,53.235176,0.171,-23.28,11.39,0.594,R
W3-306,0,,218.086365,53.438587,0.178,-22.79,10.86,0.299,B
W3-308,1,,218.187241,53.46262,0.179,-22.87,11.23,0.601,R
W3-310,0,,217.074982,53.568829,0.12,-22.34,11.08,0.658,R
W3-311,4,"A,L",218.163193,53.586056,0.127,-22.21,10.92,0.554,R
W3-312,0,,218.083038,53.61388,0.15,-22.63,11.21,0.667,R
W3-313,0,,216.776779,53.621136,0.115,-21.89,10.77,0.54,R
W3-314,0,,217.552505,53.925854,0.09,-21.44,10.37,0.345,B
W3-315,1,,217.36438,53.92997,0.151,-22.43,10.87,0.437,B
W3-318,0,,218.717087,53.116196,0.095,-21.42,10.36,0.34,B
W3-319,1,,218.689728,53.271534,0.145,-22.45,10.8,0.364,B
W3-320,4,H,219.292465,53.306797,0.15,-23.16,11.33,0.587,R
W3-321,0,,218.451843,53.32122,0.067,-20.85,10.4,0.577,R
W3-323,0,,219.340042,53.445568,0.149,-23.11,11.04,0.346,B
W3-324,0,,219.569824,53.43507,0.178,-22.87,11.23,0.6,R
W3-325,0,,218.626083,53.459709,0.105,-21.95,10.73,0.487,B
W3-326,0,,218.418457,53.454117,0.132,-22.25,10.97,0.588,R
W3-327,1,,219.546112,53.462536,0.137,-22.26,10.92,0.538,R
W3-328,2,,219.499527,53.518875,0.178,-22.88,11.23,0.596,R
W3-329,0,,219.692154,53.6492,0.049,-20.27,9.84,0.288,B
W3-330,0,,218.644486,53.684467,0.15,-22.44,11.06,0.6,R
W3-331,2,,219.792877,53.693619,0.119,-22.24,10.98,0.605,R
W3-333,4,H,219.025299,53.798485,0.193,-23.75,11.59,0.61,R
W3-335,0,,218.47699,53.875362,0.122,-21.88,10.59,0.386,B
W3-339,3,M,209.096008,54.160988,0.154,-22.66,11.17,0.623,R
W3-340,0,,209.319412,54.210136,0.054,-20.06,9.58,0.129,B
W3-341,4,L,209.544098,54.246803,0.06,-20.35,10.22,0.599,R
W3-342,0,,210.077286,54.480289,0.073,-21.25,10.51,0.537,R
W3-343,0,,209.986847,54.538315,0.123,-22.08,10.62,0.338,B
W3-344,0,,209.420425,54.679054,0.082,-21.24,10.53,0.552,R
W3-345,1,,209.547699,54.732265,0.12,-21.98,10.85,0.583,R
W3-346,0,,209.532455,54.755295,0.123,-22.4,10.75,0.341,B
W3-348,2,,210.008667,54.779526,0.16,-23.4,11.43,0.59,R
W3-350,3,S,210.548492,54.932991,0.1,-21.75,10.5,0.343,B
W3-352,4,"L,F",209.275131,54.940247,0.124,-22.17,10.87,0.531,R
W3-353,3,M,209.303955,54.944824,0.154,-22.81,11.19,0.589,R
W3-357,0,,211.995529,54.363045,0.165,-22.66,10.9,0.376,B
W3-359,0,,211.166351,54.387829,0.147,-22.46,10.82,0.381,B
W3-360,0,,211.772003,54.405373,0.093,-21.25,10.54,0.557,R
W3-361,0,,211.230392,54.441349,0.18,-23.08,11.27,0.561,R
W3-363,1,,212.004944,54.557308,0.112,-22.12,10.74,0.431,B
W3-364,0,,212.115982,54.65593,0.098,-21.67,10.47,0.347,B
W3-365,0,,211.977921,54.703484,0.087,-21.5,10.37,0.324,B
W3-366,2,,211.155212,54.793438,0.132,-22.45,10.79,0.354,B
W3-368,0,,211.065872,54.966366,0.12,-21.86,10.79,0.564,R
W3-369,1,,212.123306,54.964237,0.089,-21.09,10.09,0.212,B
W3-372,0,,212.935638,54.158489,0.09,-21.2,10.53,0.571,R
W3-375,0,,212.425156,54.236733,0.082,-21.72,10.68,0.519,B
W3-376,3,A,213.177521,54.266514,0.15,-23.3,11.35,0.551,R
W3-377,0,,212.300415,54.333485,0.152,-22.92,11.18,0.54,R
W3-378,0,,212.395416,54.442329,0.136,-22.39,10.99,0.554,R
W3-379,0,,212.338608,54.491951,0.071,-20.69,10.05,0.326,B
W3-380,0,,213.609879,54.505718,0.09,-21.18,10.31,0.385,B
W3-381,4,M,212.262207,54.551937,0.149,-22.44,10.73,0.305,B
W3-382,0,,212.762207,54.531582,0.118,-22.13,10.71,0.404,B
W3-383,2,,212.256546,54.555839,0.082,-21.29,10.4,0.419,B
W3-385,0,,212.25238,54.571976,0.09,-21.59,10.69,0.576,R
W3-386,0,,212.311401,54.581997,0.088,-21.19,10.49,0.543,R
W3-387,0,,212.784698,54.593464,0.143,-22.56,11.02,0.526,B
W3-388,0,,212.347671,54.599747,0.09,-21.1,10.38,0.475,B
W3-389,0,,213.011124,54.650566,0.14,-22.71,11.13,0.567,R
W3-390,0,,212.774796,54.679138,0.133,-22.31,10.99,0.583,R
W3-391,0,,213.595871,54.706509,0.066,-21.09,10.47,0.557,R
W3-392,0,,213.674393,54.721996,0.088,-21.6,10.6,0.488,B
W3-393,0,,213.358948,54.739876,0.097,-21.32,10.58,0.575,R
W3-394,0,,213.479492,54.763748,0.18,-23.16,11.33,0.585,R
W3-395,0,,212.226685,54.789204,0.106,-21.99,10.43,0.199,B
W3-396,0,,213.14006,54.769024,0.154,-22.57,11.1,0.587,R
W3-397,0,,212.2052,54.856037,0.126,-22.24,10.72,0.364,B
W3-398,0,,212.789459,54.946629,0.09,-22.15,10.72,0.404,B
W3-400,0,,214.81543,54.126843,0.082,-22.05,10.56,0.296,B
W3-401,0,,214.912064,54.152737,0.112,-21.89,10.74,0.515,B
W3-403,3,M,213.93486,54.202934,0.059,-20.23,10.18,0.604,R
W3-404,0,,214.475021,54.268238,0.095,-21.61,10.68,0.557,R
W3-405,0,,214.492859,54.26836,0.104,-21.62,10.52,0.413,B
W3-406,0,,215.145676,54.324493,0.198,-23.42,11.46,0.614,R
W3-407,4,"F,M",214.670135,54.38697,0.15,-23.31,11.43,0.622,R
W3-408,0,,215.002319,54.478725,0.094,-22.09,10.72,0.426,B
W3-409,3,A,214.002472,54.488846,0.119,-22.19,10.74,0.404,B
W3-410,0,,215.003433,54.523369,0.136,-22.26,10.94,0.555,R
W3-411,0,,214.147751,54.63353,0.086,-22.01,10.63,0.37,B
W3-413,0,,214.162903,54.711464,0.104,-22.17,10.91,0.562,R
W3-414,0,,215.147766,54.828606,0.149,-22.46,11.06,0.594,R
W3-415,0,,215.381073,54.057564,0.15,-22.69,11.18,0.617,R
W3-416,0,,215.481949,54.075027,0.084,-20.96,10.4,0.542,R
W3-418,4,F,215.39119,54.203026,0.18,-22.99,11.29,0.613,R
W3-419,0,,216.697327,54.229217,0.06,-21.1,10.55,0.623,R
W3-421,0,,215.50415,54.356323,0.067,-20.44,10.02,0.388,B
W3-422,2,,216.141022,54.418999,0.087,-22.0,10.61,0.354,B
W3-423,0,,215.609528,54.439373,0.09,-21.17,10.45,0.511,B
W3-424,0,,215.946182,54.551251,0.09,-21.61,10.51,0.403,B
W3-425,0,,216.312592,54.55228,0.124,-22.6,11.0,0.495,B
W3-426,0,,215.83725,54.730713,0.12,-22.67,11.13,0.582,R
W3-427,3,"S,A",215.423477,54.828404,0.121,-21.86,10.83,0.602,R
W3-428,1,,216.49646,54.833511,0.088,-21.08,10.3,0.405,B
W3-430,0,,216.627426,54.93824,0.15,-22.84,11.12,0.515,B
W3-431,0,,216.22438,54.954727,0.093,-21.55,10.72,0.618,R
W3-432,0,,217.190521,54.07864,0.06,-20.39,10.23,0.59,R
W3-433,0,,216.957825,54.098724,0.15,-22.49,11.06,0.583,R
W3-434,1,,217.824753,54.113495,0.138,-22.26,10.96,0.579,R
W3-435,0,,216.928345,54.230267,0.09,-21.79,10.57,0.395,B
W3-436,4,M,217.733276,54.283123,0.121,-22.01,10.94,0.642,R
W3-437,0,,217.896072,54.372257,0.097,-21.3,10.33,0.356,B
W3-440,0,,217.707581,54.648228,0.127,-22.55,10.86,0.383,B
W3-441,0,,217.188309,54.681698,0.094,-21.42,10.47,0.439,B
W3-442,4,"F,M",217.464722,54.686123,0.18,-23.2,11.37,0.603,R
W3-443,0,,217.323593,54.709038,0.15,-22.73,11.19,0.614,R
W3-446,0,,217.9814,54.876423,0.157,-22.97,11.33,0.653,R
W3-448,0,,219.541336,54.162456,0.111,-21.74,10.53,0.377,B
W3-449,0,,218.457718,54.22942,0.09,-21.78,10.81,0.619,R
W3-450,3,,219.408432,54.267662,0.18,-23.15,11.35,0.612,R
W3-452,4,L,219.715637,54.356796,0.101,-21.48,10.62,0.553,R
W3-453,3,H,219.402222,54.405361,0.151,-22.94,11.35,0.685,R
W3-454,0,,218.614075,54.472122,0.107,-21.67,10.78,0.631,R
W3-455,1,,218.70726,54.534405,0.15,-22.56,10.85,0.373,B
