RESOLVE,Conf,Type,SFR,mu-delta,NNdist-kd,NNdist-proj,F16,21cm,Simbad,NED,ra,dec
rs1123,0,0,0.17402922,8.93948936,1.43478909,0.55971998,0,2,Simbad,NED,204.244,0.2257
rs1124,,,0.09165233,7.3290658,0.52631606,0.40667999,0,2,Simbad,NED,204.2613,4.9301
rs1125,,,0.05548853,8.24974442,0.10235775,0.10361,0,1,Simbad,NED,204.2808,4.6924
rs1126,,,0.10128503,8.14349461,0.31459058,0.28755999,0,2,Simbad,NED,204.3132,2.4298
rs1127,,,0.02127638,9.44996071,0.07572391,0.074167,0,2,Simbad,NED,204.3279,3.9386
rs1128,,,0.10311674,8.60932827,0.10235775,0.10121,0,1,Simbad,NED,204.3408,4.689
rs1129,,,0.06513405,9.99912071,0.07572391,0.075709,0,2,Simbad,NED,204.3468,3.8975
rs1130,,,0.01633601,6.9190011,0.31459058,0.28683001,0,1,Simbad,NED,204.367,2.2205
rs1131,,,1.00083613,9.34719467,0.66035291,0.26157999,0,2,Simbad,NED,204.3721,4.1047
rs1132,,,0.07139062,7.19033194,1.43478909,0.44951999,0,2,Simbad,NED,204.3752,1.0831
rs1133,,,0.0298674,8.10104942,0.90492569,0.51051003,0,1,Simbad,NED,204.3963,0.7821
rs1134,,,0.29339561,8.55455017,0.6954143,0.32021999,0,2,Simbad,NED,204.4254,3.4726
rs1135,,,0.04849705,7.40644646,1.1345597,0.26222,0,1,Simbad,NED,204.4691,3.7955
rs1136,,,0.14402008,7.13995457,0.46619188,0.168,0,2,Simbad,NED,204.5201,4.1413
rs1137,0,0,0.40109766,8.6851635,0.76323266,0.57660002,0,2,Simbad,NED,204.5267,0.0204
rs1138,,,0.01020907,8.02070713,0.05803641,0.054978,0,1,Simbad,NED,204.5473,4.5146
rs1139,,,0.47702777,9.8577528,0.05803641,0.05672,0,2,Simbad,NED,204.5659,4.5425
rs1140,,,0.01625217,7.09079647,1.38517388,0.67413002,0,1,Simbad,NED,204.5841,1.8907
rs1141,,,0.05449449,7.62864828,2.7651036,1.0108,0,2,Simbad,NED,204.6027,1.0448
rs1142,1,1,0.20946997,7.7267499,0.05655998,0.057001,0,2,Simbad,NED,204.6187,0.5102
rs1143,,,0.34922606,7.39656973,0.43193832,0.42776,0,2,Simbad,NED,204.621,2.5285
rs1144,,,0.70167148,9.33220482,0.05326464,0.05318,0,2,Simbad,NED,204.634,0.5403
rs1145,,,0.4235234,7.58869648,0.05326464,0.054146,0,2,Simbad,NED,204.6656,0.5458
rs1146,,,0.52610886,8.44568634,0.07154373,0.071089,0,2,Simbad,NED,204.6835,4.4591
rs1359,,,0.15376882,8.59284687,0.07154373,0.071748,0,1,Simbad,NED,204.7144,4.4317
rs1147,,,0.08034544,7.38114262,0.46619188,0.16038001,0,2,Simbad,NED,204.7258,4.1307
rs1148,,,0.03851332,8.46997166,0.66035291,0.16878,0,2,Simbad,NED,204.7339,4.2291
rs1149,,,0.10275868,7.36894226,0.06182489,0.061291,0,2,Simbad,NED,204.7357,2.1508
rs1150,,,0.27608725,8.35842323,0.06182489,0.061584,0,2,Simbad,NED,204.7691,2.1638
rs1151,,,0.21843043,7.73829269,0.80968355,0.59982997,0,2,Simbad,NED,204.7961,4.9798
rs1152,,,1.20035326,8.94088936,0.21581295,0.21349999,0,2,Simbad,NED,204.8051,4.6233
rs1153,,,0.04490145,7.5786128,0.76323266,0.43202999,0,1,Simbad,NED,204.8224,0.3366
rs1154,,,0.26863912,8.43698597,0.0167423,0.017911,0,2,Simbad,NED,204.8639,4.5107
rs1155,,,0.0304855,8.27306843,0.42014006,0.43579,0,1,Simbad,NED,204.8706,1.0733
rs1156,,,0.02690004,8.52787971,0.0167423,0.017853,0,2,Simbad,NED,204.8737,4.5114
rs1157,,,0.07553972,7.97947836,0.83302008,0.62417001,0,1,Simbad,NED,204.8839,2.9814
rs1360,,,0.09744117,7.72258234,1.70748282,0.32389,0,1,Simbad,NED,204.9447,2.6264
rs1158,,,5.42431688,8.99527168,0.03593739,0.036186,0,2,Simbad,NED,204.9703,0.8399
rs1159,,,0.36758906,8.22411346,1.05232266,0.36085999,0,2,Simbad,NED,204.9772,2.122
rs1160,,,2.60006571,9.38756275,0.0266227,0.026815,0,2,Simbad,NED,204.9899,0.8308
rs1161,,,0.00498937,8.88905525,0.0266227,0.025902,0,1,Simbad,NED,204.993,0.8466
rs1162,,,0.43296832,9.46666527,0.06968821,0.069919,0,2,Simbad,NED,205.0522,2.4802
rs1163,,,0.28864878,7.12379503,0.06968821,0.071164,0,2,Simbad,NED,205.0704,2.4442
rs1164,,,0.12580329,7.37916088,0.15708773,0.15632001,0,1,Simbad,NED,205.071,3.8399
rs1165,,,0.07826243,7.91749859,1.20520849,0.42649001,0,1,Simbad,NED,205.0749,1.2927
rs1166,,,0.10007878,7.38845444,1.20520849,0.42155999,0,2,Simbad,NED,205.0892,1.5425
rs1168,,,0.47809747,9.61158276,0.04221944,0.042851,0,2,Simbad,NED,205.1132,4.7739
rs1167,,,0.02413616,6.82969856,0.99893738,0.63172001,0,1,Simbad,NED,205.1134,2.0021
rs1169,,,0.13313872,8.75433731,0.15708773,0.15692,0,2,Simbad,NED,205.1181,3.7586
rs1170,,,0.25557199,8.02350998,0.04221944,0.042732,0,2,Simbad,NED,205.1293,4.7547
rs1171,,,0.20133196,8.41981983,0.13838187,0.13581,0,2,Simbad,NED,205.13,4.6191
rs1172,,,0.09183042,8.76428604,0.01340314,0.011729,0,1,Simbad,NED,205.141,4.8203
rs1173,,,0.02200625,7.56319427,0.09646417,0.096544,0,1,Simbad,NED,205.1441,4.6996
rs1174,,,0.02195253,9.36662388,0.01340314,-999.0,0,2,Simbad,NED,205.1481,4.8168
rs1175,,,0.04352714,7.35843801,1.38517388,0.68674999,0,1,Simbad,NED,205.1501,2.0843
rs1176,,,0.08756354,7.6795187,0.04948368,0.050653,0,1,Simbad,NED,205.1773,4.8136
rs1177,,,0.06131407,8.11958313,2.73131573,0.47055,0,2,Simbad,NED,205.2397,0.9261
rs1178,,,0.72030097,8.68270969,0.39965857,0.23322999,0,2,Simbad,NED,205.2458,3.0697
rs1179,,,0.21804848,8.79539967,0.22601705,0.23006,0,2,Simbad,NED,205.3334,4.9563
rs1180,,,0.00839223,9.52146339,0.15734678,0.15857001,0,2,Simbad,NED,205.3854,4.1942
rs1181,,,0.09570229,7.02635717,0.18594031,0.18083,0,1,Simbad,NED,205.4037,4.846
rs1182,,,0.26250499,8.01402283,0.90141105,0.30243999,0,2,Simbad,NED,205.4257,4.4499
rs1183,,,0.59431672,8.01555157,0.15734678,0.15401,0,2,Simbad,NED,205.4281,4.274
rs1184,,,0.3192108,7.73305368,0.18594031,0.18906,0,2,Simbad,NED,205.4662,4.9337
rs1185,,,0.121512,8.67359924,0.99893738,0.62660998,0,2,Simbad,NED,205.4951,2.3124
rs1186,,,0.01804912,10.11180973,0.51621545,0.21337999,0,2,Simbad,NED,205.4954,4.7635
rs1187,,,0.16766599,8.65190792,1.24408605,0.58771002,0,2,Simbad,NED,205.5209,0.7182
rs1188,,,0.17232555,7.89402723,0.92569327,0.29640001,0,1,Simbad,NED,205.5424,3.6961
rs1189,,,2.32824564,9.03219032,0.20418308,0.20432,0,2,Simbad,NED,205.5453,4.2628
rs1190,,,0.1910083,9.27293491,0.19665143,0.1948,0,2,Simbad,NED,205.5717,4.6198
rs1191,,,0.18519297,8.23051548,0.76391495,0.30032,0,2,Simbad,NED,205.6077,3.8561
rs1361,,,0.26055354,7.7075367,1.70748282,0.68703997,0,2,Simbad,NED,205.6404,3.1987
rs1192,,,0.04871821,7.49903345,0.19665143,0.19760001,0,1,Simbad,NED,205.6441,4.5289
rs1193,,,0.03870995,7.58510351,0.10819048,0.10727,0,1,Simbad,NED,205.6785,3.302
rs1194,,,0.02016386,7.29109383,1.13558508,0.84231001,0,1,Simbad,NED,205.7166,0.9463
rs1195,,,0.11336606,8.39613628,0.10819048,0.1071,0,2,Simbad,NED,205.7422,3.2541
rs1196,,,0.03378792,9.41615772,1.27896788,0.91661,0,2,Simbad,NED,205.8309,1.3224
rs1197,,,1.14825964,8.37124443,0.03661489,0.037698,0,2,Simbad,NED,205.9175,3.8966
rs1198,,,0.7796911,8.23946476,0.03661489,0.038564,0,2,Simbad,NED,205.9373,3.8891
rs1199,,,0.05538396,7.84330797,1.24408605,0.80650997,0,1,Simbad,NED,205.9902,0.7974
rs1200,,,0.05670778,7.49078226,0.68155834,0.24732,0,2,Simbad,NED,206.0023,4.7344
rs1362,,,0.09267314,7.46584415,2.17389515,0.19166,0,1,Simbad,NED,206.0075,4.0475
rs1201,,,0.09130701,9.55237389,0.14458711,0.14415,0,2,Simbad,NED,206.0199,3.9057
rs1202,,,0.17971878,7.35168362,0.21368254,0.19923,0,2,Simbad,NED,206.0211,3.0506
rs1204,,,1.35809863,8.47221756,0.68155834,0.24913,0,2,Simbad,NED,206.141,4.7758
rs1205,,,0.04972183,9.3337326,1.10252655,0.28867,0,2,Simbad,NED,206.1723,4.9422
rs1206,,,0.04644627,9.57919502,0.66660442,0.35157001,0,2,Simbad,NED,206.2103,4.0239
rs1207,,,0.03075635,9.10550594,0.22873948,0.22676,0,2,Simbad,NED,206.5528,3.5058
rs1208,,,0.04742631,8.41594982,2.7651036,0.48396,0,1,Simbad,NED,206.6003,1.5788
rs1209,,,0.10482907,8.52832031,0.62526865,0.44852999,0,2,Simbad,NED,206.6233,3.8784
rs1210,,,0.01252801,8.60510731,0.22873948,0.23096,0,2,Simbad,NED,206.6757,3.4597
rs1211,,,0.8894003,8.85883141,0.15166031,0.14949,0,2,Simbad,NED,206.7164,3.7479
rs1212,,,0.32242537,8.04082298,0.11275194,0.1146,0,2,Simbad,NED,206.7254,3.6608
rs1213,,,0.14932744,8.38749409,0.0403421,0.039416,0,2,Simbad,NED,206.7796,3.6224
rs1214,,,0.23672615,9.62795544,0.0403421,0.040519,0,2,Simbad,NED,206.7884,3.644
rs1363,,,0.04682466,8.08573818,1.4370421,0.45151001,0,2,Simbad,NED,206.8108,3.1385
rs1364,,,0.22630642,8.65656471,0.19462409,0.19952001,0,2,Simbad,NED,206.8271,3.7674
rs1215,,,0.08603758,8.20569897,3.63579118,1.77240002,0,1,Simbad,NED,206.8813,0.367
rs1217,,,0.25984788,8.9352293,2.29330176,0.13147999,0,2,Simbad,NED,206.9102,3.3341
rs1365,,,0.01127013,9.04469967,0.07980673,0.080647,0,2,Simbad,NED,206.9247,3.3663
rs1218,,,0.24593489,9.89018059,0.07980673,0.079559,0,2,Simbad,NED,206.9296,3.4116
rs1219,,,0.10207991,9.08066463,0.12549159,0.12529001,0,2,Simbad,NED,206.9904,3.4497
rs1220,,,0.55900061,8.28338623,1.53054838,1.07679999,0,2,Simbad,NED,207.0007,4.9882
rs1221,,,0.05146977,7.70991898,0.62526865,0.45853001,0,1,Simbad,NED,207.0255,3.7804
rs1222,,,0.3582384,7.86706352,1.25510388,0.53424001,0,2,Simbad,NED,207.0659,4.3705
rs1366,,,0.021179,9.93945026,1.89912985,0.47419,0,2,Simbad,NED,207.2438,3.5225
rs1223,,,0.09027331,7.51537752,0.11842211,0.11537,0,2,Simbad,NED,207.3173,4.1756
rs1224,,,0.11225232,8.32147026,0.09049987,0.091519,0,2,Simbad,NED,207.3459,4.2591
rs1225,,,0.01383227,8.39077663,0.08008916,0.079648,0,2,Simbad,NED,207.3723,4.2147
rs1226,,,1.04263842,9.27860928,0.01604373,0.016598,0,2,Simbad,NED,207.4114,4.2384
rs1227,,,0.00905865,8.38712311,0.01604373,0.016871,0,2,Simbad,NED,207.42,4.2351
rs1228,,,0.00979178,9.0943718,0.070011,0.068687,0,2,Simbad,NED,207.4716,4.178
rs1367,,,0.03832771,9.30335808,0.070011,0.071546,0,2,Simbad,NED,207.4834,4.1399
rs1368,,,0.09751951,7.16084719,0.31826958,0.31536001,0,2,Simbad,NED,207.645,4.254
rs1229,,,0.61314201,8.4130621,0.31826958,0.31503999,0,2,Simbad,NED,207.7939,4.3615
rs1369,,,0.00693997,9.35305786,0.14077832,0.14184999,0,2,Simbad,NED,207.9778,2.4379
rs1230,,,0.17718425,10.11416626,0.8567079,0.47837001,0,2,Simbad,NED,207.9889,2.0034
rs1231,,,0.02364004,9.8800354,2.29330176,0.13755,0,2,Simbad,NED,207.9986,2.47
rs1370,,,0.20806718,7.58512306,0.61333516,0.28753,0,2,Simbad,NED,208.0168,3.369
rs1371,,,0.13983755,7.97125435,0.02325484,0.022867,0,2,Simbad,NED,208.0408,3.6368
rs1232,,,0.73416847,9.4980402,0.02069908,0.020439,0,2,Simbad,NED,208.042,2.3253
rs1233,,,0.01332941,9.7716198,0.02069908,-999.0,0,2,Simbad,NED,208.0482,2.3153
rs1372,,,0.36187619,8.32887173,0.07993554,0.080164,0,2,Simbad,NED,208.0505,2.404
rs1373,,,0.07183739,7.46123028,0.02325484,0.02283,0,2,Simbad,NED,208.052,3.6552
rs1234,,,0.10792349,9.54413319,0.06510008,0.065407,0,2,Simbad,NED,208.0607,2.3597
rs1235,,,0.08318509,9.7093792,0.06510008,0.064434,0,2,Simbad,NED,208.095,2.3457
rs1236,,,0.06347775,7.94560623,2.27475168,1.95089996,0,1,Simbad,NED,208.1012,0.0889
rs1237,,,0.06155054,7.78073788,0.82628686,0.21111999,0,1,Simbad,NED,208.1438,1.7781
rs1374,,,0.15442087,9.92549324,0.04149768,0.040818,0,2,Simbad,NED,208.1495,0.8184
rs1375,,,0.08286985,8.36547375,0.12703857,0.12355,0,1,Simbad,NED,208.1535,0.0225
rs1238,,,0.21062262,8.65711308,2.31411096,0.69493997,0,2,Simbad,NED,208.1607,3.464
rs1239,,,0.02381203,8.91547203,0.02036246,0.020559,0,2,Simbad,NED,208.1837,0.8028
rs1240,,,0.45330229,7.91867018,0.12703857,0.12679,0,2,Simbad,NED,208.1855,0.1303
rs1376,,,0.07926036,6.79317474,0.9503751,0.31926,0,2,Simbad,NED,208.1999,1.9635
rs1241,,,0.00861476,7.89950275,0.02036246,0.019869,0,1,Simbad,NED,208.202,0.8
rs1377,,,0.49616259,8.24879837,0.04833646,0.048217,0,2,Simbad,NED,208.2088,2.2637
rs1242,,,0.02079607,9.10403442,0.82628686,0.21283001,0,2,Simbad,NED,208.2144,1.6775
rs1243,,,1.13304842,8.82116032,0.92709373,0.63186997,0,2,Simbad,NED,208.2356,2.8146
rs1378,,,0.31729174,7.52314949,0.04833646,0.048589,0,2,Simbad,NED,208.2536,2.2621
rs1244,,,0.01939193,7.16611433,0.79177267,0.33155,0,1,Simbad,NED,208.2576,1.4367
rs1245,,,0.14637692,7.3319397,3.55209371,1.29390001,0,2,Simbad,NED,208.2897,4.9608
rs1246,,,0.10706922,7.22338486,0.23725342,0.23322999,0,2,Simbad,NED,208.3098,3.8984
rs1247,,,0.0094786,7.45731068,0.20454544,0.19712,0,1,Simbad,NED,208.3515,0.9097
rs1379,,,0.08012749,7.42977333,1.14678856,0.69546998,0,1,Simbad,NED,208.3819,2.609
rs1380,,,0.03192353,6.53583193,0.14115732,0.14466,0,1,Simbad,NED,208.3848,2.2593
rs1248,,,0.51553929,8.3052597,0.92709373,0.46669,0,2,Simbad,NED,208.425,3.3777
rs1381,,,0.03821073,8.20309925,0.78744443,0.073918,0,1,Simbad,NED,208.4247,0.1217
rs1249,,,0.01254157,7.72526646,1.06702584,0.34101,0,1,Simbad,NED,208.435,1.1881
rs1250,,,0.06340154,7.33172703,0.31902864,0.075604,0,1,Simbad,NED,208.4371,0.0557
rs1251,,,0.47775215,7.53501558,0.23725342,0.24423,0,2,Simbad,NED,208.5163,3.9516
rs1382,,,0.05256712,8.86359596,0.97883346,0.47516,0,1,Simbad,NED,208.5423,3.773
rs1252,,,0.03163248,7.06441927,1.11064463,0.47031,0,2,Simbad,NED,208.5874,4.0356
rs1383,,,0.14882463,8.61594009,0.21946162,0.21800999,0,2,Simbad,NED,208.7359,2.0957
rs1384,,,0.12131071,8.98466396,0.14327127,0.14327,0,2,Simbad,NED,208.7711,3.296
rs1385,,,0.09913149,8.23533726,0.21946162,0.22183,0,2,Simbad,NED,208.8102,1.9076
rs1386,,,0.33111158,9.19636917,0.63546783,0.33068001,0,2,Simbad,NED,208.9234,2.871
rs1387,,,0.15881485,8.30139637,1.85869627,0.88888001,0,2,Simbad,NED,208.9261,4.3948
rs1388,,,0.13846374,7.44575691,0.63546783,0.33203,0,2,Simbad,NED,208.991,3.046
rs1389,,,0.20979404,8.40195179,2.27475168,1.96270001,0,1,Simbad,NED,208.9963,0.7541
rs1253,,,0.10501707,7.18360806,1.06702584,0.29997,0,2,Simbad,NED,209.0433,1.7977
rs1390,,,0.15703481,7.8419776,0.45784083,0.40913999,0,2,Simbad,NED,209.4567,2.4535
rs1391,,,0.3295216,7.81847668,0.45784083,0.40942001,0,2,Simbad,NED,209.6861,2.4567
rs1254,,,0.07086411,10.19210625,2.91728933,1.48179996,0,2,Simbad,NED,209.69,2.8443
rs1392,,,0.04071506,7.43099737,0.64708354,0.47584,0,1,Simbad,NED,209.7068,2.0362
rs1393,,,0.06343942,8.36458206,0.17662565,0.17603999,0,1,Simbad,NED,209.9659,2.0917
rs1394,,,0.08337144,8.72874641,2.26391576,1.31079996,0,1,Simbad,NED,209.981,4.5619
rs1395,,,0.09927897,8.46078587,0.17662565,0.17736,0,2,Simbad,NED,209.9833,1.9944
rs1396,,,0.0790445,7.69691515,0.04752654,0.047069,0,2,Simbad,NED,210.345,1.9913
rs1397,,,0.50948906,7.43360138,0.04752654,0.047991,0,2,Simbad,NED,210.3645,1.9732
rs1398,,,0.38557494,8.91278458,1.15924235,0.31648999,0,2,Simbad,NED,210.4436,1.1569
rs1399,,,0.11385778,8.82194901,1.07634365,0.31356999,0,2,Simbad,NED,210.5085,0.9933
rs1400,,,0.07030534,7.55005646,2.31161118,1.33510005,0,2,Simbad,NED,210.5552,4.0952
rs1401,,,0.36624593,7.38603306,0.60982986,0.39612001,0,2,Simbad,NED,210.6747,1.8898
rs1256,,,0.02051189,7.75716543,1.02373516,0.94525999,0,1,Simbad,NED,210.7473,0.5162
rs1257,,,0.24811876,8.39358139,2.92773462,0.97065002,0,1,Simbad,NED,211.3598,3.0332
rs1258,0,0,0.14819424,8.11838055,1.97635385,1.00839996,0,2,Simbad,NED,212.1365,3.0246
rs1259,,,0.15778038,9.28704357,2.4581298,1.05970001,0,2,Simbad,NED,212.1947,4.9099
rs1260,0,0,0.08770094,7.6612134,3.08890551,0.81559998,0,2,Simbad,NED,212.5938,4.0156
rs1261,0,0,0.11120665,8.0731802,3.26833917,0.76134002,0,1,Simbad,NED,212.8887,4.4826
rs1262,,,0.17155345,7.76156139,0.58550391,0.38973001,0,2,Simbad,NED,212.9411,1.9473
rs1263,,,0.27442023,8.03809929,0.58550391,0.35150999,0,2,Simbad,NED,213.1666,1.755
rs1264,,,0.12237505,8.83023357,0.69288356,0.35473001,0,2,Simbad,NED,213.2052,1.4893
rs1402,,,0.07616735,8.83769512,3.28217758,3.27999997,0,2,Simbad,NED,213.783,3.1129
rs1265,3,1,0.57872945,7.66520166,0.06846408,0.069041,0,2,Simbad,NED,213.8002,4.8719
rs1266,,,1.61914718,8.1107235,0.06846408,0.067887,0,2,Simbad,NED,213.8013,4.8242
rs1267,,,0.91876012,8.64926815,0.53845269,0.38345,0,2,Simbad,NED,213.8489,4.4085
rs1268,,,0.10351989,9.35722923,3.28217758,3.28250003,0,2,Simbad,NED,213.8551,4.9341
rs1269,,,0.08016357,7.30132055,0.53845269,0.38159999,0,2,Simbad,NED,213.9483,4.1601
rs1270,,,0.1253681,9.16611671,3.18819578,1.42630005,0,2,Simbad,NED,216.0729,4.6996
rs1403,,,0.39218172,8.2340517,0.22473686,0.22642,0,2,Simbad,NED,216.8522,3.0722
rs1271,,,0.01924376,8.0036726,0.07319601,0.072655,0,1,Simbad,NED,216.8582,2.9454
rs1404,,,0.57799792,9.61694908,0.07319601,0.073246,0,2,Simbad,NED,216.8984,2.9545
rs1272,,,0.05492735,7.94639492,4.56268971,2.56469989,0,1,Simbad,NED,216.987,0.0226
rs1405,,,0.05507035,7.91810942,3.5861637,2.0223,0,1,Simbad,NED,218.3894,3.2748
rs1275,,,0.02358612,6.77712631,3.5861637,2.72650003,0,1,Simbad,NED,218.6103,0.8308
rs1276,,,0.87931955,8.0491333,2.88521309,1.29009998,0,2,Simbad,NED,219.175,2.3859
rs1277,,,0.05212298,8.1111145,4.91923227,2.17309999,0,1,Simbad,NED,219.7877,4.5517
rs1406,,,0.14389364,8.30028152,2.14998289,1.27639997,0,2,Simbad,NED,219.8941,2.651
rs1278,0,0,0.0889205,8.19632912,1.26513391,0.73969001,0,2,Simbad,NED,220.0273,3.8734
rs1279,3,2,0.01906161,9.60870361,1.26513391,0.18561,0,2,Simbad,NED,220.154,3.4647
rs1407,,,0.00619349,8.59677887,1.10449049,0.19357,0,2,Simbad,NED,220.1593,3.3564
rs1408,,,0.0770947,8.85589981,0.90177812,0.41001999,0,2,Simbad,NED,220.3728,3.1953
rs1409,,,0.24330494,8.79122066,0.90177812,0.41253999,0,2,Simbad,NED,220.5885,3.2709
rs1280,,,0.09650358,7.36993694,1.83192601,1.69439995,0,1,Simbad,NED,221.8369,0.011
rs1281,0,0,0.04918462,8.49752617,2.23952123,1.84570003,0,1,Simbad,NED,222.3483,4.2312
rs1282,,,0.06762575,9.7535038,0.07842823,0.078972,0,2,Simbad,NED,222.8475,0.0071
rs1283,3,1,0.23353274,7.0875001,0.5024789,0.48965999,0,2,Simbad,NED,223.2881,4.8512
rs1284,0,0,0.16989902,8.11067772,0.08243813,0.082678,0,1,Simbad,NED,223.5791,4.9365
rs1285,3,1,0.12793307,7.32303476,0.08243813,0.082287,0,1,Simbad,NED,223.6302,4.9379
rs1286,0,0,0.24843827,8.40247345,1.49333217,0.37968999,0,2,Simbad,NED,223.8019,2.8169
rs1287,0,0,0.03225932,9.49307823,0.95515207,0.94919002,0,2,Simbad,NED,223.8065,3.612
rs1288,0,0,0.04665633,9.82802773,0.95515207,0.38582999,0,2,Simbad,NED,223.8874,3.0372
rs1289,3,1,0.18639652,8.30952263,1.76506681,0.71552998,0,1,Simbad,NED,224.0283,1.925
rs1290,0,0,0.2373711,7.20342588,1.18815152,0.70327997,0,2,Simbad,NED,224.11,2.3477
rs1291,0,0,0.2400987,9.22078896,0.7542992,0.74067998,0,2,Simbad,NED,224.2297,4.2051
rs1292,0,0,0.03706359,9.34699631,0.66366025,0.59941,0,2,Simbad,NED,224.3771,3.7758
rs1293,0,0,0.5819754,7.96656847,0.23145298,0.22889,0,2,Simbad,NED,224.5346,3.424
rs1294,0,0,0.69831592,8.60879993,0.23145298,0.23176,0,2,Simbad,NED,224.6416,3.5185
rs1295,0,0,0.11178716,8.0716362,4.13588065,3.96600008,0,1,Simbad,NED,225.9595,0.5655
rs1296,0,0,0.15142159,8.07908058,4.89555798,4.86350012,0,2,Simbad,NED,227.6531,3.309
rs1297,0,0,0.26912802,8.7104187,2.76861795,1.88849998,0,2,Simbad,NED,230.9415,2.6703
rs1298,0,0,0.05803508,7.7410388,0.97688445,0.98049998,0,1,Simbad,NED,230.9459,4.2614
rs1299,3,1,0.1578282,7.73114872,0.07452815,0.073297,0,1,Simbad,NED,231.2453,4.7897
rs1300,0,0,0.06172813,9.87980556,0.07452815,0.074408,0,2,Simbad,NED,231.2683,4.8298
rs1301,3,1,0.25740135,8.95736313,0.12328146,0.12409,0,2,Simbad,NED,231.2711,4.9064
rs1302,3,2,0.2332191,7.73048973,1.68862634,0.76571,0,2,Simbad,NED,231.716,3.5975
rs1303,3,2,0.12860456,7.21594143,1.8425516,0.77700001,0,2,Simbad,NED,231.7359,4.0737
rs1304,4,1,0.14083166,7.30178833,2.7993798,2.7881999,0,2,Simbad,NED,232.1705,1.3774
rs1305,,,0.0394036,8.25746822,8.04189459,20.66200066,0,1,Simbad,NED,233.3986,3.8752
rs1306,,,0.04408236,7.11690998,3.43027704,2.55310011,0,1,Simbad,NED,233.8943,4.7848
rs1307,,,0.62100792,7.83147764,4.42463569,4.03410006,0,2,Simbad,NED,233.9136,2.4279
rs1308,0,0,0.68028939,8.00948906,0.60397422,0.46487001,0,2,Simbad,NED,234.5443,4.7804
rs1309,0,0,2.52312112,8.8491888,0.60397422,0.46270999,0,2,Simbad,NED,234.7283,4.583
rs1310,0,0,0.07518838,8.11114883,2.89094191,2.22169995,0,1,Simbad,NED,235.0844,3.6343
rs1311,0,0,0.55001938,7.72777367,2.89094191,1.87689996,0,2,Simbad,NED,235.8745,4.7944
rs1312,1,1,0.0326543,7.09366226,2.85514636,2.40939999,0,2,Simbad,NED,235.9976,4.0264
rs0079,3,1,0.03728259,7.25086975,0.22382517,0.22996999,0,2,Simbad,NED,142.8539,4.3432
rs0245,,,0.02426588,7.25275803,0.76550653,0.44310999,0,1,Simbad,NED,155.6602,0.6204
rs0287,,,0.01230025,8.04963112,2.04829396,1.20589995,0,2,Simbad,NED,158.7728,0.2814
rs0294,0,0,0.02176275,6.93743801,0.43766454,0.095308,0,1,Simbad,NED,159.3828,0.5214
rs0878,,,0.02955528,8.10706139,0.04020218,0.041086,0,1,Simbad,NED,189.6056,1.7844
rs0902,,,0.01415078,7.18119955,1.3747162,0.26488,0,1,Simbad,NED,190.6622,0.6859
rs1203,,,0.03259462,6.72170973,0.41780666,0.18311,0,1,Simbad,NED,206.0439,4.1469
rs1216,,,0.27590302,8.46321487,0.80498152,0.44444001,0,2,Simbad,NED,206.8839,4.0966
rs1410,,,0.02067659,7.98595619,0.18753003,0.1838,0,1,Simbad,NED,180.8632,4.867
rs1411,,,0.11677992,7.26615667,0.21405146,0.21186,0,2,Simbad,NED,203.9971,3.7641
rs1412,,,0.26997861,7.70398521,1.02373516,1.02499998,0,2,Simbad,NED,211.1573,0.1092
rs1413,1,2,0.05205343,7.4982996,3.56278861,1.66999996,0,1,Simbad,NED,149.9174,0.0443
rs1414,,,0.0388328,7.43235874,0.80607201,0.27719,0,1,Simbad,NED,163.0289,4.4741
rs1415,0,0,0.0261943,9.54004765,0.12808505,0.12754001,0,2,Simbad,NED,169.7485,3.3125
rs1416,,,0.01173856,8.860919,0.02673382,0.026764,0,2,Simbad,NED,203.5202,3.3308
rs1417,4,1,0.65511161,7.67076683,0.16985344,0.17068,0,2,Simbad,NED,151.4852,3.7701
rs1418,,,0.25920221,9.17072392,0.00875298,0.0087461,0,2,Simbad,NED,142.4405,2.2065
rs1419,,,0.02776504,7.26685429,2.36137106,0.97478002,0,1,Simbad,NED,134.4838,1.5168
rs1420,,,0.01273593,8.11929893,0.42537567,0.20207,0,1,Simbad,NED,139.503,0.5291
rs1421,4,1,0.07395924,6.90305948,1.19576976,0.67659998,0,2,Simbad,NED,141.3356,3.115
rs1422,,,0.03120185,7.31992245,0.50217189,0.32594001,0,2,Simbad,NED,142.3618,1.8759
rs1423,0,0,0.02596443,5.97813082,0.35668175,0.25665,0,1,Simbad,NED,143.8406,2.9858
rs1424,,,0.21041968,7.15380096,1.20024023,1.14129996,0,2,Simbad,NED,144.4216,2.7787
rs1425,0,0,0.04021445,6.92690754,0.7895823,0.61552,0,2,Simbad,NED,144.5536,2.9439
rs1426,,,0.05076363,7.50666618,1.14200474,0.86993003,0,2,Simbad,NED,146.4588,3.6698
rs1427,3,1,0.04398981,6.8287735,0.41046366,0.39388999,0,1,Simbad,NED,146.5744,3.4161
rs1428,,,0.02967728,7.27699947,0.82181482,0.67593998,0,1,Simbad,NED,146.8864,3.9821
rs1429,,,0.00024257,7.42294264,3.07823784,0.32912001,0,1,Simbad,NED,147.9994,4.2402
rs1430,,,0.03772649,6.78563643,1.44123015,0.34208,0,2,Simbad,NED,148.5591,2.4802
